iter	RMSE
570	54.09098286
571	54.08955688
572	54.08587197
573	54.08459977
574	54.08432506
575	54.07369849
576	54.07280355
577	54.06256456
578	54.06128266
579	54.04974828
580	54.04864169
581	54.0478994
582	54.0465795
583	54.04578709
584	54.02758058
585	54.02330122
586	54.00251486
587	53.98066723
588	53.97974075
589	53.97811711
590	53.97648117
591	53.96320071
592	53.95467039
593	53.95183657
594	53.95094522
595	53.95043133
596	53.93452407
597	53.93293866
598	53.93213757
599	53.92629347
600	53.90762092
601	53.90561741
602	53.90312671
603	53.88358768
604	53.87475693
605	53.87359572
606	53.85441571
607	53.83979297
608	53.83869514
609	53.8375826
610	53.83636613
611	53.83549588
612	53.82731286
613	53.82365485
614	53.81814785
615	53.81598659
616	53.79931778
617	53.79868302
618	53.79592975
619	53.79482972
620	53.77888916
621	53.77688585
622	53.77586044
623	53.75779058
624	53.75720509
625	53.75487887
626	53.74550497
627	53.7433599
628	53.73987132
629	53.72078998
630	53.71613028
631	53.71529914
632	53.70502072
633	53.7043548
634	53.69426069
635	53.69180727
636	53.67696831
637	53.67605269
638	53.67535494
639	53.67158466
640	53.65817502
641	53.65517752
642	53.65227962
643	53.64599659
644	53.64522502
645	53.64344258
646	53.64281838
647	53.63931229
648	53.61677205
649	53.61571539
650	53.61508119
651	53.60536279
652	53.57884862
653	53.56227578
654	53.55838035
655	53.55445928
656	53.55349984
657	53.55024252
658	53.54093794
659	53.53134374
660	53.52300534
661	53.51918077
662	53.51672359
663	53.50254786
664	53.4944122
665	53.48076232
666	53.47883031
667	53.47703247
668	53.47105152
669	53.4682428
670	53.46031852
671	53.45425828
672	53.45279491
673	53.44607785
674	53.42464076
675	53.41654751
676	53.41568468
677	53.41369705
678	53.41202418
679	53.40409977
680	53.39569439
681	53.39474604
682	53.3941583
683	53.39112401
684	53.38731181
685	53.37051264
686	53.36965286
687	53.36092827
688	53.33721417
689	53.3358403
690	53.31341191
691	53.30950663
692	53.30586996
693	53.30510297
694	53.29851431
695	53.29187283
696	53.2834495
697	53.27825765
698	53.2705362
699	53.25059149
700	53.24695355
701	53.24215791
702	53.23455246
703	53.23222081
704	53.22942193
705	53.22736564
706	53.22286846
707	53.22005399
708	53.21862381
709	53.21792442
710	53.21701871
711	53.21618708
712	53.21404367
713	53.2131495
714	53.20553107
715	53.19726317
716	53.19662857
717	53.17935107
718	53.17728778
719	53.17423803
720	53.17374425
721	53.17284158
722	53.16971849
723	53.16690579
724	53.15900317
725	53.1582756
726	53.15627
727	53.13175683
728	53.11787992
729	53.11191377
730	53.1076161
731	53.10673797
732	53.10590419
733	53.10519834
734	53.10368959
735	53.10299089
736	53.10169416
737	53.1010611
738	53.0833379
739	53.07183721
740	53.05849511
741	53.05727355
742	53.05528583
743	53.04858021
744	53.04511256
745	53.04434975
746	53.0361955
747	53.03551186
748	53.02208849
749	53.02034002
750	53.01219899
751	53.00660944
752	53.00566577
753	53.00338125
754	52.98917212
755	52.9868595
756	52.98434126
757	52.98362067
758	52.98313618
759	52.97328729
760	52.97270208
761	52.96703293
762	52.96491391
763	52.96344875
764	52.9580393
765	52.94631475
766	52.94275157
767	52.93305286
768	52.93148324
769	52.92399367
770	52.91118144
771	52.90985748
772	52.89784015
773	52.89204511
774	52.88248647
775	52.88176915
776	52.87338626
777	52.87233977
778	52.86361048
779	52.85655914
780	52.83704297
781	52.83441251
